name,createdAt,primaryLanguage,stargazers,pullRequests,releases,updatedAt,total_issues,closed_issues,issue_closure_ratio,age,last_update
astro,2021-03-15T17:19:47Z,TypeScript,45081,6147,1000,2024-08-23T00:30:42Z,4529,4414,0.97460808125414,3,0
Projects,2013-07-04T13:37:27Z,Unknown,44843,19,0,2024-08-22T22:01:26Z,72,33,0.4583333333333333,11,0
react,2018-06-02T04:08:16Z,JavaScript,44820,359,0,2024-08-22T23:29:04Z,204,201,0.9852941176470589,6,0
zed,2021-02-20T03:01:06Z,Rust,44783,7193,569,2024-08-23T00:25:10Z,7522,4807,0.6390587609678277,3,0
joplin,2017-01-16T21:49:41Z,TypeScript,44782,3340,347,2024-08-22T21:44:05Z,6467,6073,0.9390753053966291,7,0
gogs,2014-02-12T01:57:08Z,Go,44707,1692,78,2024-08-22T23:56:42Z,5088,4196,0.824685534591195,10,0
Motrix,2018-12-18T11:45:05Z,JavaScript,44700,181,21,2024-08-22T23:51:53Z,1293,577,0.4462490332559938,6,0
FFmpeg,2011-04-14T14:12:38Z,C,44508,16,0,2024-08-22T21:16:54Z,0,0,0.0,13,0
nocodb,2017-10-29T18:51:48Z,TypeScript,44450,3689,147,2024-08-22T23:44:19Z,3380,2806,0.8301775147928994,7,0
PowerShell,2016-01-13T23:41:35Z,C#,44437,6954,172,2024-08-22T22:46:35Z,12316,11454,0.9300097434231893,8,0
design-patterns-for-humans,2017-02-16T21:24:39Z,Unknown,44360,49,0,2024-08-22T21:04:40Z,51,47,0.9215686274509803,7,0
100-Days-Of-ML-Code,2018-07-05T09:11:43Z,Unknown,44357,6,0,2024-08-22T21:05:21Z,0,0,0.0,6,0
fuels-rs,2021-10-31T22:33:54Z,Rust,44308,791,100,2024-08-22T21:27:31Z,601,520,0.8652246256239601,3,0
fuels-ts,2021-09-03T18:11:03Z,TypeScript,44305,1509,127,2024-08-22T15:03:56Z,1160,1027,0.8853448275862069,3,0
weekly,2018-10-13T12:36:07Z,Unknown,44273,88,0,2024-08-23T00:15:56Z,4846,824,0.17003714403631862,6,0
meteor,2012-01-19T01:58:17Z,JavaScript,44236,2235,0,2024-08-22T23:08:07Z,9069,8829,0.9735362222957327,12,0
architecture-samples,2016-02-05T13:42:07Z,Kotlin,44233,224,0,2024-08-22T17:03:30Z,480,343,0.7145833333333333,8,0
first-contributions,2016-09-20T14:35:09Z,Unknown,44174,73319,0,2024-08-23T00:13:26Z,772,721,0.9339378238341969,8,0
x64dbg,2015-04-11T20:48:23Z,C++,44158,682,2,2024-08-23T00:32:16Z,2467,1872,0.7588163761653831,9,0
hiring-without-whiteboards,2017-03-15T05:09:01Z,JavaScript,44104,1274,0,2024-08-22T21:34:09Z,0,0,0.0,7,0
n8n,2019-06-22T09:24:21Z,TypeScript,44043,6984,208,2024-08-23T00:30:30Z,1714,1519,0.8862310385064177,5,0
jest,2013-12-10T00:18:04Z,TypeScript,43999,5547,202,2024-08-22T23:03:52Z,7870,7584,0.9636594663278272,11,0
hackingtool,2020-04-11T09:21:31Z,Python,43995,55,0,2024-08-22T23:21:26Z,338,297,0.878698224852071,4,0
starship,2019-04-02T03:23:12Z,Rust,43880,2675,130,2024-08-22T23:56:20Z,2231,1647,0.7382339757956073,5,0
AdminLTE,2013-12-25T02:52:40Z,Astro,43837,1502,73,2024-08-22T22:54:05Z,2835,2716,0.9580246913580247,11,0
gitea,2016-11-01T02:13:26Z,Go,43799,16079,194,2024-08-22T23:18:04Z,13424,10947,0.8154797377830751,8,0
parcel,2017-08-07T16:36:47Z,JavaScript,43349,2548,35,2024-08-22T18:58:42Z,5333,4743,0.8893680855053441,7,0
pixijs,2013-01-21T22:40:50Z,TypeScript,43344,3429,264,2024-08-22T21:10:32Z,5655,5331,0.9427055702917772,11,0
TensorFlow-Examples,2015-11-11T14:21:19Z,Jupyter Notebook,43335,88,0,2024-08-22T23:11:19Z,233,69,0.296137339055794,9,0
appwrite,2019-04-08T16:36:25Z,TypeScript,43202,2972,99,2024-08-22T23:59:28Z,3572,2987,0.8362262038073908,5,0
MetaGPT,2023-06-30T09:04:55Z,Python,43181,592,21,2024-08-23T00:19:29Z,617,319,0.5170178282009724,1,0
build-web-application-with-golang,2012-08-02T11:49:35Z,Go,43174,757,0,2024-08-22T21:10:15Z,302,182,0.6026490066225165,12,0
hyper,2016-07-01T06:01:21Z,TypeScript,43132,3291,88,2024-08-22T23:11:09Z,3760,2861,0.760904255319149,8,0
babel,2014-09-28T13:38:23Z,TypeScript,43128,5840,407,2024-08-22T21:10:02Z,8828,8190,0.9277299501585863,10,0
pandas,2010-08-24T01:37:33Z,Python,43047,25788,108,2024-08-22T21:09:54Z,26729,23128,0.8652774140446706,14,0
retrofit,2010-09-06T21:39:43Z,HTML,42920,993,2,2024-08-23T00:12:03Z,2713,2591,0.9550313306302985,14,0
quill,2012-07-30T23:23:18Z,TypeScript,42834,376,94,2024-08-23T00:21:08Z,3572,3240,0.9070548712206047,12,0
zx,2021-05-05T05:50:01Z,JavaScript,42720,218,66,2024-08-23T00:25:10Z,407,397,0.9754299754299754,3,0
immich,2022-02-03T15:56:27Z,TypeScript,42692,4362,200,2024-08-23T00:26:01Z,3496,3055,0.8738558352402745,2,0
huginn,2013-03-10T06:00:31Z,Ruby,42615,1011,1,2024-08-23T00:07:08Z,2133,1544,0.7238631036099391,11,0
dify,2023-04-12T07:40:24Z,TypeScript,42615,3083,86,2024-08-23T00:34:27Z,3302,3042,0.9212598425196851,1,0
